step,seed,lr,batch_size,train_loss,val_loss,outputs
0,0,0.001,128,3.637514379960072,3.6579621136188507,"['r|zmgvwamcmaman', 'x|lmsmm|ydnavwv']"
100,0,0.001,128,3.1698000370701656,3.1806457936763763,"['abablnjildntncb', 'alnylnliwlnnnnn']"
200,0,0.001,128,2.9911921477016015,3.008878380060196,"['allnllnllalnnll', 'lllllltnwlntnct']"
300,0,0.001,128,2.4457443635674974,2.4763294458389282,"['acnyyjttaakannk', 'elnlaknidwfcdcb']"
400,0,0.001,128,1.0556233910065662,1.079920768737793,"['abcdefghijklmno', 'lknmlkjihgfedcb']"
500,0,0.001,128,0.7966759853725192,0.8224020600318909,"['abcdefghijklmno', 'wonmlkjihgfedcb']"
600,0,0.001,128,0.6863641640808009,0.7126927003264427,"['abcdefghijklmno', 'nonmlkjihgfedcb']"
700,0,0.001,128,0.6278601107718069,0.652561254799366,"['abcdefghijklmno', 'nonmlkjihgfedcb']"
800,0,0.001,128,0.5929632352877267,0.6264512166380882,"['abcdefghijklmno', 'nonmlkjihgfedcb']"
900,0,0.001,128,0.5551499098162108,0.5926608368754387,"['abcdefghijklmno', 'nonmlkjihgfedcb']"
1000,0,0.001,128,0.5214044723329665,0.5595770925283432,"['abcdefghijklmno', 'wonmlkjihgfedcb']"
2000,0,0.001,128,0.25061032628711266,0.2901496849954128,"['abcdefghijklmno', 'eonmlkjihgfedcb']"
3000,0,0.001,128,0.05948889892123922,0.09411339927464724,"['abcdefghijklmno', 'aonmlkjihgfedcb']"
4000,0,0.001,128,0.02481697743782137,0.06743139773607254,"['abcdefghijklmno', 'aonmlkjihgfedcb']"
5000,0,0.001,128,0.017010690629647315,0.05080455122515559,"['abcdefghijklmio', 'aonmlkjihgfedcb']"
6000,0,0.001,128,0.0059545411259714,0.032547952607274055,"['abcdefghijklmno', 'aonmlkjihgfedcb']"
7000,0,0.001,128,0.002180403873952153,0.020806976011954248,"['abcdefghijklmno', 'aonmlkjihgfedcb']"
8000,0,0.001,128,0.006305014045578958,0.023095988435670733,"['abcdefghijklmno', 'aonmlkjihgfedcb']"
9000,0,0.001,128,0.002761051419067279,0.02466321608517319,"['abcdefghijklmno', 'aonmlkjihgfedcb']"
10000,0,0.001,128,0.002458466405175697,0.014161067083477974,"['abcdefghijklmno', 'aonmlkjihgfedcb']"
0,1,0.001,128,3.6737645607960374,3.664533704519272,"['hdarevssjqjodsv', 'hdmkedsspjfspfv']"
100,1,0.001,128,3.146608017667939,3.1511666774749756,"['ainrllniivjcicb', 'iiitikliqgltocl']"
200,1,0.001,128,2.958401679992676,2.973064571619034,"['ainrlknijufcdib', 'ainiiiiihjjkark']"
300,1,0.001,128,1.9907426471951641,2.009382665157318,"['aankefgoijklkiy', 'jigilijihjceacb']"
400,1,0.001,128,0.9606886053387123,0.9756419733166695,"['abcdefghijklmno', 'kxnmlkjihgfedcb']"
500,1,0.001,128,0.747209010999414,0.763513021171093,"['abcdefghijklmno', 'oonmlkjihgfedcb']"
600,1,0.001,128,0.6557035453711884,0.6704933270812035,"['abcdefghijklmno', 'oonmlkjihgfedcb']"
700,1,0.001,128,0.6058201986023143,0.6205192655324936,"['abcdefghijklmno', 'ionmlkjihgfedcb']"
800,1,0.001,128,0.5737032384812077,0.5916552245616913,"['abcdefghijklmno', 'lonmlkjihgfedcb']"
900,1,0.001,128,0.5359561050994487,0.5577968955039978,"['abcdefghijklmno', 'konmlkjihgfedcb']"
1000,1,0.001,128,0.5114161579669276,0.5333708822727203,"['abcdefghijklmno', 'ionmlkjihgfedcb']"
2000,1,0.001,128,0.17875628022453452,0.21039041690528393,"['abcdefghijklmno', 'gonmlkjihgfedcb']"
3000,1,0.001,128,0.020235302079987676,0.05403358396142721,"['abcdefghijklmno', 'aonmlkjihgfedcb']"
4000,1,0.001,128,0.0048117774414912435,0.02740469458512962,"['abcdefghijklmno', 'aonmlkjihgfedcb']"
5000,1,0.001,128,0.007161631141317701,0.03131669631693512,"['abcdefghijklmno', 'aonmlkjihgfedcb']"
6000,1,0.001,128,0.0012027386576305675,0.01960589864756912,"['abcdefghijklmno', 'aonmlkjihgfedcb']"
7000,1,0.001,128,0.008736301497909936,0.025704753934405744,"['abcdefghijklmno', 'aonmlkjihgfedcb']"
8000,1,0.001,128,0.003748831353548183,0.013949253305327147,"['abcdefghijklmno', 'aonmlkjihgfedcb']"
