step,seed,lr,batch_size,train_loss,val_loss,outputs
0,0,0.001,128,4.185189452352403,4.198332488536835,"['nmamcbhsjncrntl', 'nohitnhhhhlhzcm']"
100,0,0.001,128,2.3203575218780133,2.990895926952362,"['ajcslyncxnceuvb', 'yocbbyiqaljnjlm']"
200,0,0.001,128,0.33002575043636034,3.517133206129074,"['aysmnohiqyqmwcd', 'yocdbdbyalbwqle']"
300,0,0.001,128,0.014569952550544581,4.399071991443634,"['agchnfgilyqmwnd', 'yondbabyalfwqle']"
400,0,0.001,128,0.0012922326038013908,5.015295743942261,"['ajchnfgilyimwsh', 'yondbdfxalfemle']"
500,0,0.001,128,0.0004243728987683978,5.261829495429993,"['agchnfgilyimwcd', 'yondbdfxalfeqle']"
600,0,0.001,128,0.0002613215752556048,5.426355004310608,"['agchnfgilyimwcd', 'yondbdfxalfeqle']"
700,0,0.001,128,0.0001839641885039149,5.558326005935669,"['agchnfgilyimwcd', 'yondbdfxalfeqle']"
800,0,0.001,128,0.00013829061116424942,5.670043647289276,"['agchnfgilyimwcd', 'yondbdfxalfeqle']"
900,0,0.001,128,0.00010819409979813838,5.767214775085449,"['agchnfgilyimwcd', 'yondbdfxalfeqle']"
1000,0,0.001,128,8.676918661899723e-05,5.854738891124725,"['agchnfgilyimwcd', 'yondbdfxalfeqle']"
2000,0,0.001,128,1.990214106534708e-05,6.458347678184509,"['ajchnfgilyimwcd', 'yondbabxalfeqle']"
3000,0,0.001,128,7.6184992222012245e-06,6.85960453748703,"['ajchnfgilyimwcd', 'yondbabxalfeqle']"
4000,0,0.001,128,3.4917232202547616e-06,7.1865314245224,"['ajchnfgilyimwcd', 'yondbabxalfeqle']"
5000,0,0.001,128,1.746590637767325e-06,7.477725923061371,"['ajchnfgilyimwcd', 'yondbabxalfeqle']"
6000,0,0.001,128,9.19919091158383e-07,7.749056279659271,"['ajchnfgilyimwcd', 'yondbabxalfeqle']"
7000,0,0.001,128,4.950239190149452e-07,8.009153842926025,"['ajchnfgilyimwcd', 'yondbabxalfeqle']"
8000,0,0.001,128,2.693548730107229e-07,8.262905955314636,"['ajchnfgilyimwcd', 'yondbabxalfeqle']"
9000,0,0.001,128,1.4751674946557063e-07,8.507292747497559,"['ajchnfgilyimwcd', 'yondbabxalfeqle']"
10000,0,0.001,128,8.246800935530355e-08,8.73257291316986,"['ajchnfgilyimwcd', 'yondbabxalfeqle']"
0,1,0.001,128,4.880230716512173,4.893603801727295,"['wjujppjiyjztjvr', 'wjujsrjijdwtjvj']"
100,1,0.001,128,2.5278230799904353,2.986573815345764,"['aenmofcmfcmonjt', 'jocceqchjckmcmu']"
200,1,0.001,128,0.5782136136217962,3.3657146394252777,"['axclhvcoqzdjmhk', 'jodcjxgnkxkhkyk']"
300,1,0.001,128,0.0259763078433992,4.199388086795807,"['aqcayhchsjcsodx', 'oodcjmcnarvmqcb']"
400,1,0.001,128,0.0023668864830338125,4.9226900935173035,"['abclylchsjcsodx', 'oodjjmcnarfmqcb']"
500,1,0.001,128,0.000848766950495494,5.196006119251251,"['axclyhchsjcjodx', 'hodjjmcnalfmqcb']"
600,1,0.001,128,0.000350921079914286,5.387910604476929,"['axclyhchqjcjodx', 'oodjjmcnalfmqcb']"
700,1,0.001,128,0.00023206461260030399,5.525474846363068,"['axclyhchqjcjodx', 'oodjjmcnalfmqcb']"
800,1,0.001,128,0.0001699163239888399,5.641626536846161,"['axclyhchqjcsodx', 'oodjjmcnalfmqcb']"
900,1,0.001,128,0.00013142079151754233,5.741674423217773,"['axclyhchsjcjodx', 'oodjjmcnalfmqcb']"
1000,1,0.001,128,0.00010494367579437344,5.8310094475746155,"['axclyhchsjcsodx', 'oodjjmcnalfmqcb']"
2000,1,0.001,128,2.352711055232536e-05,6.43988424539566,"['axclyhchsjcjodx', 'oodjjmcnalfmqcb']"
3000,1,0.001,128,8.950449412197163e-06,6.843310117721558,"['axclyhchsjcjodx', 'oodjjmcnalfmqcb']"
4000,1,0.001,128,4.0962918348346255e-06,7.171717584133148,"['axclyhchsjcjodx', 'oodjjmcnalfmqcb']"
5000,1,0.001,128,2.0504816537923726e-06,7.46418559551239,"['axclyhchsjcjodx', 'oodjjmcnalfmqcb']"
6000,1,0.001,128,1.0767361132659775e-06,7.737254738807678,"['axclyhchsjcdodx', 'oodjjmcnalfmqcb']"
7000,1,0.001,128,5.79511646996068e-07,7.998696982860565,"['axclyhchsjcdodx', 'oodjjmcnalfmqcb']"
8000,1,0.001,128,3.154297817822732e-07,8.254122912883759,"['axclyhchsjcdodx', 'oodjjmcnalfmqcb']"
9000,1,0.001,128,1.7344209525134242e-07,8.501067519187927,"['axclyhchsjcdodx', 'oodjjmcnalfmqcb']"
